start, granule, total, cmr, dmrpp, signed_url, transmit
1692899763, 20230821140000-STAR-L2P_GHRSST-SSTsubskin-AHI_H09-ACSPO_V2.90-v02.0-fv01.0.nc.dmrpp, 15.422819, 0.260688, 2.315839, -, 12.75112
1692900447, 20230821140000-STAR-L2P_GHRSST-SSTsubskin-AHI_H09-ACSPO_V2.90-v02.0-fv01.0.nc.dmrpp, 15.737173, 0.670036, 2.288, -, 12.681951
1692903045, ATL06_20200101223747_00950603_005_01.h5.dmrpp, 6.087477, 0.412445, 2.394414, 2.279083, 0.986126
1692903068, ATL06_20200101223747_00950603_005_01.h5.dmrpp, 3.572044, 0.216445, 2.343227, -, 0.995705
1692903086, ATL06_20200101223747_00950603_005_01.h5.dmrpp, 3.927598, 0.218698, 2.34307, -, 1.349459
1692903104, ATL06_20200101223747_00950603_005_01.h5.dmrpp, 3.515473, 0.220841, 2.311359, -, 0.96672
1692903124, ATL06_20200101223747_00950603_005_01.h5.dmrpp, 3.406103, 0.236673, 2.352064, -, 0.80096
1692903139, ATL06_20200101223747_00950603_005_01.h5.dmrpp, 3.682334, 0.207095, 2.302896, -, 1.155853
1692903149, ATL06_20200101223747_00950603_005_01.h5.dmrpp, 3.840298, 0.195703, 2.310738, -, 1.317632
1692903221, ATL07-01_20200101015629_00820601_005_01.h5.dmrpp, 6.573183, 0.228589, 2.360406, 2.30703, 1.654975
1692903246, ATL07-01_20200101015629_00820601_005_01.h5.dmrpp, 4.190985, 0.268252, 2.292088, -, 1.606645
1692903273, ATL07-01_20200101015629_00820601_005_01.h5.dmrpp, 4.121634, 0.209439, 2.363992, -, 1.526
1692903296, ATL08_20200101145654_00900605_005_01.h5.dmrpp, 7.609998, 0.24039, 2.562088, 2.447104, 2.336941
1692903359, ATL08_20200101145654_00900605_005_01.h5.dmrpp, 3.148846, 0.204325, 2.326479, -, 0.593986
1692903383, ATL08_20200101145654_00900605_005_01.h5.dmrpp, 3.301176, 0.206313, 2.288113, -, 0.785637
1692903392, ATL08_20200101145654_00900605_005_01.h5.dmrpp, 3.639674, 0.205686, 2.333373, -, 1.076459
1692903432, ATL10-01_20200101002212_00810601_005_02.h5.dmrpp, 5.948978, 0.22808, 2.296582, 2.326154, 1.079365
