key, granule, total (s), cmr (s), dmrpp (s), signed_url (s), transmit (s), BES response, BES path, DAP CE
1692827043-187,ATL06_20200101021201_00820603_005_01.h5.dmrpp,10.838964,0.678171,6.372848,2.292321,1.479449,get.dap,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101021201_00820603_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:64:];/gt3r_land_ice_segments_longitude[0:64:];/gt3r_land_ice_segments_delta_time[0:64:];/gt3l_land_ice_segments_latitude[0:64:];/gt3l_land_ice_segments_longitude[0:64:];/gt3l_land_ice_segments_delta_time[0:64:];/gt2r_land_ice_segments_latitude[0:64:];/gt2r_land_ice_segments_longitude[0:64:];/gt2r_land_ice_segments_delta_time[0:64:];/gt2l_land_ice_segments_latitude[0:64:];/gt2l_land_ice_segments_longitude[0:64:];/gt2l_land_ice_segments_delta_time[0:64:];/gt1r_land_ice_segments_latitude[0:64:];/gt1r_land_ice_segments_longitude[0:64:];/gt1r_land_ice_segments_delta_time[0:64:];/gt1l_land_ice_segments_latitude[0:64:];/gt1l_land_ice_segments_longitude[0:64:];/gt1l_land_ice_segments_delta_time[0:64:]
1692827093-187,ATL06_20200101020331_00820602_005_01.h5.dmrpp,5.581511,0.209516,2.427543,2.30582,0.622697,get.dap,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101020331_00820602_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:1:];/gt3r_land_ice_segments_longitude[0:1:];/gt3r_land_ice_segments_delta_time[0:1:];/gt3l_land_ice_segments_latitude[0:1:];/gt3l_land_ice_segments_longitude[0:1:];/gt3l_land_ice_segments_delta_time[0:1:];/gt2r_land_ice_segments_latitude[0:1:];/gt2r_land_ice_segments_longitude[0:1:];/gt2r_land_ice_segments_delta_time[0:1:];/gt2l_land_ice_segments_latitude[0:1:];/gt2l_land_ice_segments_longitude[0:1:];/gt2l_land_ice_segments_delta_time[0:1:];/gt1r_land_ice_segments_latitude[0:1:];/gt1r_land_ice_segments_longitude[0:1:];/gt1r_land_ice_segments_delta_time[0:1:];/gt1l_land_ice_segments_latitude[0:1:];/gt1l_land_ice_segments_longitude[0:1:];/gt1l_land_ice_segments_delta_time[0:1:]
1692827167-187,ATL06_20200101021201_00820603_005_01.h5.dmrpp,3.432472,0.219042,2.295482,-,0.901393,get.dap,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101021201_00820603_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:64:];/gt3r_land_ice_segments_longitude[0:64:];/gt3r_land_ice_segments_delta_time[0:64:];/gt3l_land_ice_segments_latitude[0:64:];/gt3l_land_ice_segments_longitude[0:64:];/gt3l_land_ice_segments_delta_time[0:64:];/gt2r_land_ice_segments_latitude[0:64:];/gt2r_land_ice_segments_longitude[0:64:];/gt2r_land_ice_segments_delta_time[0:64:];/gt2l_land_ice_segments_latitude[0:64:];/gt2l_land_ice_segments_longitude[0:64:];/gt2l_land_ice_segments_delta_time[0:64:];/gt1r_land_ice_segments_latitude[0:64:];/gt1r_land_ice_segments_longitude[0:64:];/gt1r_land_ice_segments_delta_time[0:64:];/gt1l_land_ice_segments_latitude[0:64:];/gt1l_land_ice_segments_longitude[0:64:];/gt1l_land_ice_segments_delta_time[0:64:]
1692827183-187,ATL13_20200101002212_00810601_005_01.h5.dmrpp,12.110083,0.499558,6.540028,2.495346,2.558845,get.dap,/hyrax/ngap/collections/C1241427013-NSIDC_CUAT/granules/ATL13_20200101002212_00810601_005_01.h5.dap,/gt3r_rgt[0:1:];/gt3r_segment_lat[0:1:];/gt3r_segment_lon[0:1:];/gt3r_ht_ortho[0:1:];/gt3r_ht_water_surf[0:1:];/gt3l_rgt[0:1:];/gt3l_segment_lat[0:1:];/gt3l_segment_lon[0:1:];/gt3l_ht_ortho[0:1:];/gt3l_ht_water_surf[0:1:];/gt2r_rgt[0:1:];/gt2r_segment_lat[0:1:];/gt2r_segment_lon[0:1:];/gt2r_ht_ortho[0:1:];/gt2r_ht_water_surf[0:1:];/gt2l_rgt[0:1:];/gt2l_segment_lat[0:1:];/gt2l_segment_lon[0:1:];/gt2l_ht_ortho[0:1:];/gt2l_ht_water_surf[0:1:];/gt1r_rgt[0:1:];/gt1r_segment_lat[0:1:];/gt1r_segment_lon[0:1:];/gt1r_ht_ortho[0:1:];/gt1r_ht_water_surf[0:1:];/gt1l_rgt[0:1:];/gt1l_segment_lat[0:1:];/gt1l_segment_lon[0:1:];/gt1l_ht_ortho[0:1:];/gt1l_ht_water_surf[0:1:]
1692829375-187,ATL07-01_20200101015629_00820601_005_01.h5.dmrpp,4.414248,0.223402,2.317075,-,1.851569,get.dap,/hyrax/ngap/collections/C1241426887-NSIDC_CUAT/granules/ATL07-01_20200101015629_00820601_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_sea_ice_segments_latitude[0:1024:];/gt3r_sea_ice_segments_longitude[0:1024:];/gt3r_sea_ice_segments_delta_time[0:1024:];/gt3l_sea_ice_segments_latitude[0:1024:];/gt3l_sea_ice_segments_longitude[0:1024:];/gt3l_sea_ice_segments_delta_time[0:1024:];/gt2r_sea_ice_segments_latitude[0:1024:];/gt2r_sea_ice_segments_longitude[0:1024:];/gt2r_sea_ice_segments_delta_time[0:1024:];/gt2l_sea_ice_segments_latitude[0:1024:];/gt2l_sea_ice_segments_longitude[0:1024:];/gt2l_sea_ice_segments_delta_time[0:1024:];/gt1r_sea_ice_segments_latitude[0:1024:];/gt1r_sea_ice_segments_longitude[0:1024:];/gt1r_sea_ice_segments_delta_time[0:1024:];/gt1l_sea_ice_segments_latitude[0:1024:];/gt1l_sea_ice_segments_longitude[0:1024:];/gt1l_sea_ice_segments_delta_time[0:1024:]
1692890134-187,ATL08_20200101145654_00900605_005_01.h5.dmrpp,6.511654,0.709252,2.511129,2.359587,0.908679,get.dap,/hyrax/ngap/collections/C1241426907-NSIDC_CUAT/granules/ATL08_20200101145654_00900605_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_segments_latitude[0:64:];/gt3r_land_segments_longitude[0:64:];/gt3r_land_segments_delta_time[0:64:];/gt3l_land_segments_latitude[0:64:];/gt3l_land_segments_longitude[0:64:];/gt3l_land_segments_delta_time[0:64:];/gt2r_land_segments_latitude[0:64:];/gt2r_land_segments_longitude[0:64:];/gt2r_land_segments_delta_time[0:64:];/gt2l_land_segments_latitude[0:64:];/gt2l_land_segments_longitude[0:64:];/gt2l_land_segments_delta_time[0:64:];/gt1r_land_segments_latitude[0:64:];/gt1r_land_segments_longitude[0:64:];/gt1r_land_segments_delta_time[0:64:];/gt1l_land_segments_latitude[0:64:];/gt1l_land_segments_longitude[0:64:];/gt1l_land_segments_delta_time[0:64:]
1692892550-187,ATL06_20200101223747_00950603_005_01.h5.dmrpp,5.545796,0.205612,2.291688,2.360888,0.671863,get.dap,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101223747_00950603_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:256:];/gt3r_land_ice_segments_longitude[0:256:];/gt3r_land_ice_segments_delta_time[0:256:];/gt3l_land_ice_segments_latitude[0:256:];/gt3l_land_ice_segments_longitude[0:256:];/gt3l_land_ice_segments_delta_time[0:256:];/gt2r_land_ice_segments_latitude[0:256:];/gt2r_land_ice_segments_longitude[0:256:];/gt2r_land_ice_segments_delta_time[0:256:];/gt2l_land_ice_segments_latitude[0:256:];/gt2l_land_ice_segments_longitude[0:256:];/gt2l_land_ice_segments_delta_time[0:256:];/gt1r_land_ice_segments_latitude[0:256:];/gt1r_land_ice_segments_longitude[0:256:];/gt1r_land_ice_segments_delta_time[0:256:];/gt1l_land_ice_segments_latitude[0:256:];/gt1l_land_ice_segments_longitude[0:256:];/gt1l_land_ice_segments_delta_time[0:256:]
1692892793-187,ATL06_20200101223747_00950603_005_01.h5.dmrpp,3.313999,0.219908,2.294972,-,0.781577,get.dap,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101223747_00950603_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:256:];/gt3r_land_ice_segments_longitude[0:256:];/gt3r_land_ice_segments_delta_time[0:256:];/gt3l_land_ice_segments_latitude[0:256:];/gt3l_land_ice_segments_longitude[0:256:];/gt3l_land_ice_segments_delta_time[0:256:];/gt2r_land_ice_segments_latitude[0:256:];/gt2r_land_ice_segments_longitude[0:256:];/gt2r_land_ice_segments_delta_time[0:256:];/gt2l_land_ice_segments_latitude[0:256:];/gt2l_land_ice_segments_longitude[0:256:];/gt2l_land_ice_segments_delta_time[0:256:];/gt1r_land_ice_segments_latitude[0:256:];/gt1r_land_ice_segments_longitude[0:256:];/gt1r_land_ice_segments_delta_time[0:256:];/gt1l_land_ice_segments_latitude[0:256:];/gt1l_land_ice_segments_longitude[0:256:];/gt1l_land_ice_segments_delta_time[0:256:]
1692892880-187,ATL07-01_20200101015629_00820601_005_01.h5.dmrpp,7.466235,0.243766,2.348507,2.350392,2.501856,get.dap,/hyrax/ngap/collections/C1241426887-NSIDC_CUAT/granules/ATL07-01_20200101015629_00820601_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_sea_ice_segments_latitude[0:1024:];/gt3r_sea_ice_segments_longitude[0:1024:];/gt3r_sea_ice_segments_delta_time[0:1024:];/gt3l_sea_ice_segments_latitude[0:1024:];/gt3l_sea_ice_segments_longitude[0:1024:];/gt3l_sea_ice_segments_delta_time[0:1024:];/gt2r_sea_ice_segments_latitude[0:1024:];/gt2r_sea_ice_segments_longitude[0:1024:];/gt2r_sea_ice_segments_delta_time[0:1024:];/gt2l_sea_ice_segments_latitude[0:1024:];/gt2l_sea_ice_segments_longitude[0:1024:];/gt2l_sea_ice_segments_delta_time[0:1024:];/gt1r_sea_ice_segments_latitude[0:1024:];/gt1r_sea_ice_segments_longitude[0:1024:];/gt1r_sea_ice_segments_delta_time[0:1024:];/gt1l_sea_ice_segments_latitude[0:1024:];/gt1l_sea_ice_segments_longitude[0:1024:];/gt1l_sea_ice_segments_delta_time[0:1024:]
1692892976-187,ATL07-01_20200101015629_00820601_005_01.h5.dmrpp,4.413065,0.234872,2.336032,-,1.818001,get.dap,/hyrax/ngap/collections/C1241426887-NSIDC_CUAT/granules/ATL07-01_20200101015629_00820601_005_01.h5.dap,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_sea_ice_segments_latitude[0:1024:];/gt3r_sea_ice_segments_longitude[0:1024:];/gt3r_sea_ice_segments_delta_time[0:1024:];/gt3l_sea_ice_segments_latitude[0:1024:];/gt3l_sea_ice_segments_longitude[0:1024:];/gt3l_sea_ice_segments_delta_time[0:1024:];/gt2r_sea_ice_segments_latitude[0:1024:];/gt2r_sea_ice_segments_longitude[0:1024:];/gt2r_sea_ice_segments_delta_time[0:1024:];/gt2l_sea_ice_segments_latitude[0:1024:];/gt2l_sea_ice_segments_longitude[0:1024:];/gt2l_sea_ice_segments_delta_time[0:1024:];/gt1r_sea_ice_segments_latitude[0:1024:];/gt1r_sea_ice_segments_longitude[0:1024:];/gt1r_sea_ice_segments_delta_time[0:1024:];/gt1l_sea_ice_segments_latitude[0:1024:];/gt1l_sea_ice_segments_longitude[0:1024:];/gt1l_sea_ice_segments_delta_time[0:1024:]
