1692824698,187,request,OLFS,10.9.15.84,Mozilla#5#0 #Macintosh# Intel Mac OS X 10_15_7# AppleWebKit#605#1#15 #KHTML# like Gecko# Version#16#5 Safari#605#1#15,86B3A67B4773ED47F6C2719A16981C3A,ndp_opendap,1692824698108,2,HTTP-GET,/hyrax/data/nc/fnoc1.nc.dmr.html,-,BES,get.dmr,dap2,/usr/share/hyrax/data/nc/fnoc1.nc
1692827043,187,request,OLFS,10.9.15.84,#NetcdfJava#HttpClient4#4,8DFF38777C3CD91088C66EFBBFB5D5F0,nsidc_ops,1692827043161,4,HTTP-GET,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101021201_00820603_005_01.h5.dap,dap4.ce=#orbit_info_rgt##orbit_info_crossing_time##gt3r_land_ice_segments_latitude#5b0:64:#5d##gt3r_land_ice_segments_longitude#5b0:64:#5d##gt3r_land_ice_segments_delta_time#5b0:64:#5d##gt3l_land_ice_segments_latitude#5b0:64:#5d##gt3l_land_ice_segments_longitude#5b0:64:#5d##gt3l_land_ice_segments_delta_time#5b0:64:#5d##gt2r_land_ice_segments_latitude#5b0:64:#5d##gt2r_land_ice_segments_longitude#5b0:64:#5d##gt2r_land_ice_segments_delta_time#5b0:64:#5d##gt2l_land_ice_segments_latitude#5b0:64:#5d##gt2l_land_ice_segments_longitude#5b0:64:#5d##gt2l_land_ice_segments_delta_time#5b0:64:#5d##gt1r_land_ice_segments_latitude#5b0:64:#5d##gt1r_land_ice_segments_longitude#5b0:64:#5d##gt1r_land_ice_segments_delta_time#5b0:64:#5d##gt1l_land_ice_segments_latitude#5b0:64:#5d##gt1l_land_ice_segments_longitude#5b0:64:#5d##gt1l_land_ice_segments_delta_time#5b0:64:#5d,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL06/005/2020/01/01/ATL06_20200101021201_00820603_005_01.h5,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:64:];/gt3r_land_ice_segments_longitude[0:64:];/gt3r_land_ice_segments_delta_time[0:64:];/gt3l_land_ice_segments_latitude[0:64:];/gt3l_land_ice_segments_longitude[0:64:];/gt3l_land_ice_segments_delta_time[0:64:];/gt2r_land_ice_segments_latitude[0:64:];/gt2r_land_ice_segments_longitude[0:64:];/gt2r_land_ice_segments_delta_time[0:64:];/gt2l_land_ice_segments_latitude[0:64:];/gt2l_land_ice_segments_longitude[0:64:];/gt2l_land_ice_segments_delta_time[0:64:];/gt1r_land_ice_segments_latitude[0:64:];/gt1r_land_ice_segments_longitude[0:64:];/gt1r_land_ice_segments_delta_time[0:64:];/gt1l_land_ice_segments_latitude[0:64:];/gt1l_land_ice_segments_longitude[0:64:];/gt1l_land_ice_segments_delta_time[0:64:]
1692827093,187,request,OLFS,10.9.2.162,#NetcdfJava#HttpClient4#4,BFCF268A0B206215781FCA049AE50B27,nsidc_ops,1692827093238,8,HTTP-GET,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101020331_00820602_005_01.h5.dap,dap4.ce=#orbit_info_rgt##orbit_info_crossing_time##gt3r_land_ice_segments_latitude#5b0:1:#5d##gt3r_land_ice_segments_longitude#5b0:1:#5d##gt3r_land_ice_segments_delta_time#5b0:1:#5d##gt3l_land_ice_segments_latitude#5b0:1:#5d##gt3l_land_ice_segments_longitude#5b0:1:#5d##gt3l_land_ice_segments_delta_time#5b0:1:#5d##gt2r_land_ice_segments_latitude#5b0:1:#5d##gt2r_land_ice_segments_longitude#5b0:1:#5d##gt2r_land_ice_segments_delta_time#5b0:1:#5d##gt2l_land_ice_segments_latitude#5b0:1:#5d##gt2l_land_ice_segments_longitude#5b0:1:#5d##gt2l_land_ice_segments_delta_time#5b0:1:#5d##gt1r_land_ice_segments_latitude#5b0:1:#5d##gt1r_land_ice_segments_longitude#5b0:1:#5d##gt1r_land_ice_segments_delta_time#5b0:1:#5d##gt1l_land_ice_segments_latitude#5b0:1:#5d##gt1l_land_ice_segments_longitude#5b0:1:#5d##gt1l_land_ice_segments_delta_time#5b0:1:#5d,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL06/005/2020/01/01/ATL06_20200101020331_00820602_005_01.h5,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:1:];/gt3r_land_ice_segments_longitude[0:1:];/gt3r_land_ice_segments_delta_time[0:1:];/gt3l_land_ice_segments_latitude[0:1:];/gt3l_land_ice_segments_longitude[0:1:];/gt3l_land_ice_segments_delta_time[0:1:];/gt2r_land_ice_segments_latitude[0:1:];/gt2r_land_ice_segments_longitude[0:1:];/gt2r_land_ice_segments_delta_time[0:1:];/gt2l_land_ice_segments_latitude[0:1:];/gt2l_land_ice_segments_longitude[0:1:];/gt2l_land_ice_segments_delta_time[0:1:];/gt1r_land_ice_segments_latitude[0:1:];/gt1r_land_ice_segments_longitude[0:1:];/gt1r_land_ice_segments_delta_time[0:1:];/gt1l_land_ice_segments_latitude[0:1:];/gt1l_land_ice_segments_longitude[0:1:];/gt1l_land_ice_segments_delta_time[0:1:]
1692827159,187,request,OLFS,10.9.2.162,#NetcdfJava#HttpClient4#4,053499454D04B28B8BE69F1F27ACD7F4,nsidc_ops,1692827158859,12,HTTP-GET,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101020331_00820602_005_01.h5.dap,dap4.ce=#orbit_info_rgt##orbit_info_crossing_time##gt3r_land_ice_segments_latitude#5b0:256:#5d##gt3r_land_ice_segments_longitude#5b0:256:#5d##gt3r_land_ice_segments_delta_time#5b0:256:#5d##gt3l_land_ice_segments_latitude#5b0:256:#5d##gt3l_land_ice_segments_longitude#5b0:256:#5d##gt3l_land_ice_segments_delta_time#5b0:256:#5d##gt2r_land_ice_segments_latitude#5b0:256:#5d##gt2r_land_ice_segments_longitude#5b0:256:#5d##gt2r_land_ice_segments_delta_time#5b0:256:#5d##gt2l_land_ice_segments_latitude#5b0:256:#5d##gt2l_land_ice_segments_longitude#5b0:256:#5d##gt2l_land_ice_segments_delta_time#5b0:256:#5d##gt1r_land_ice_segments_latitude#5b0:256:#5d##gt1r_land_ice_segments_longitude#5b0:256:#5d##gt1r_land_ice_segments_delta_time#5b0:256:#5d##gt1l_land_ice_segments_latitude#5b0:256:#5d##gt1l_land_ice_segments_longitude#5b0:256:#5d##gt1l_land_ice_segments_delta_time#5b0:256:#5d,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL06/005/2020/01/01/ATL06_20200101020331_00820602_005_01.h5,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:256:];/gt3r_land_ice_segments_longitude[0:256:];/gt3r_land_ice_segments_delta_time[0:256:];/gt3l_land_ice_segments_latitude[0:256:];/gt3l_land_ice_segments_longitude[0:256:];/gt3l_land_ice_segments_delta_time[0:256:];/gt2r_land_ice_segments_latitude[0:256:];/gt2r_land_ice_segments_longitude[0:256:];/gt2r_land_ice_segments_delta_time[0:256:];/gt2l_land_ice_segments_latitude[0:256:];/gt2l_land_ice_segments_longitude[0:256:];/gt2l_land_ice_segments_delta_time[0:256:];/gt1r_land_ice_segments_latitude[0:256:];/gt1r_land_ice_segments_longitude[0:256:];/gt1r_land_ice_segments_delta_time[0:256:];/gt1l_land_ice_segments_latitude[0:256:];/gt1l_land_ice_segments_longitude[0:256:];/gt1l_land_ice_segments_delta_time[0:256:]
1692827167,187,request,OLFS,10.9.2.162,#NetcdfJava#HttpClient4#4,B8B6CFBD94F06C01E187E1B2E12755F0,nsidc_ops,1692827167608,16,HTTP-GET,/hyrax/ngap/collections/C1241426872-NSIDC_CUAT/granules/ATL06_20200101021201_00820603_005_01.h5.dap,dap4.ce=#orbit_info_rgt##orbit_info_crossing_time##gt3r_land_ice_segments_latitude#5b0:64:#5d##gt3r_land_ice_segments_longitude#5b0:64:#5d##gt3r_land_ice_segments_delta_time#5b0:64:#5d##gt3l_land_ice_segments_latitude#5b0:64:#5d##gt3l_land_ice_segments_longitude#5b0:64:#5d##gt3l_land_ice_segments_delta_time#5b0:64:#5d##gt2r_land_ice_segments_latitude#5b0:64:#5d##gt2r_land_ice_segments_longitude#5b0:64:#5d##gt2r_land_ice_segments_delta_time#5b0:64:#5d##gt2l_land_ice_segments_latitude#5b0:64:#5d##gt2l_land_ice_segments_longitude#5b0:64:#5d##gt2l_land_ice_segments_delta_time#5b0:64:#5d##gt1r_land_ice_segments_latitude#5b0:64:#5d##gt1r_land_ice_segments_longitude#5b0:64:#5d##gt1r_land_ice_segments_delta_time#5b0:64:#5d##gt1l_land_ice_segments_latitude#5b0:64:#5d##gt1l_land_ice_segments_longitude#5b0:64:#5d##gt1l_land_ice_segments_delta_time#5b0:64:#5d,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL06/005/2020/01/01/ATL06_20200101021201_00820603_005_01.h5,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_land_ice_segments_latitude[0:64:];/gt3r_land_ice_segments_longitude[0:64:];/gt3r_land_ice_segments_delta_time[0:64:];/gt3l_land_ice_segments_latitude[0:64:];/gt3l_land_ice_segments_longitude[0:64:];/gt3l_land_ice_segments_delta_time[0:64:];/gt2r_land_ice_segments_latitude[0:64:];/gt2r_land_ice_segments_longitude[0:64:];/gt2r_land_ice_segments_delta_time[0:64:];/gt2l_land_ice_segments_latitude[0:64:];/gt2l_land_ice_segments_longitude[0:64:];/gt2l_land_ice_segments_delta_time[0:64:];/gt1r_land_ice_segments_latitude[0:64:];/gt1r_land_ice_segments_longitude[0:64:];/gt1r_land_ice_segments_delta_time[0:64:];/gt1l_land_ice_segments_latitude[0:64:];/gt1l_land_ice_segments_longitude[0:64:];/gt1l_land_ice_segments_delta_time[0:64:]
1692827183,187,request,OLFS,10.9.15.84,#NetcdfJava#HttpClient4#4,A2DC50EBA3471C833A8C66227F0A4F66,nsidc_ops,1692827183446,20,HTTP-GET,/hyrax/ngap/collections/C1241427013-NSIDC_CUAT/granules/ATL13_20200101002212_00810601_005_01.h5.dap,dap4.ce=#gt3r_rgt#5b0:1:#5d##gt3r_segment_lat#5b0:1:#5d##gt3r_segment_lon#5b0:1:#5d##gt3r_ht_ortho#5b0:1:#5d##gt3r_ht_water_surf#5b0:1:#5d##gt3l_rgt#5b0:1:#5d##gt3l_segment_lat#5b0:1:#5d##gt3l_segment_lon#5b0:1:#5d##gt3l_ht_ortho#5b0:1:#5d##gt3l_ht_water_surf#5b0:1:#5d##gt2r_rgt#5b0:1:#5d##gt2r_segment_lat#5b0:1:#5d##gt2r_segment_lon#5b0:1:#5d##gt2r_ht_ortho#5b0:1:#5d##gt2r_ht_water_surf#5b0:1:#5d##gt2l_rgt#5b0:1:#5d##gt2l_segment_lat#5b0:1:#5d##gt2l_segment_lon#5b0:1:#5d##gt2l_ht_ortho#5b0:1:#5d##gt2l_ht_water_surf#5b0:1:#5d##gt1r_rgt#5b0:1:#5d##gt1r_segment_lat#5b0:1:#5d##gt1r_segment_lon#5b0:1:#5d##gt1r_ht_ortho#5b0:1:#5d##gt1r_ht_water_surf#5b0:1:#5d##gt1l_rgt#5b0:1:#5d##gt1l_segment_lat#5b0:1:#5d##gt1l_segment_lon#5b0:1:#5d##gt1l_ht_ortho#5b0:1:#5d##gt1l_ht_water_surf#5b0:1:#5d,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL13/005/2020/01/ATL13_20200101002212_00810601_005_01.h5,/gt3r_rgt[0:1:];/gt3r_segment_lat[0:1:];/gt3r_segment_lon[0:1:];/gt3r_ht_ortho[0:1:];/gt3r_ht_water_surf[0:1:];/gt3l_rgt[0:1:];/gt3l_segment_lat[0:1:];/gt3l_segment_lon[0:1:];/gt3l_ht_ortho[0:1:];/gt3l_ht_water_surf[0:1:];/gt2r_rgt[0:1:];/gt2r_segment_lat[0:1:];/gt2r_segment_lon[0:1:];/gt2r_ht_ortho[0:1:];/gt2r_ht_water_surf[0:1:];/gt2l_rgt[0:1:];/gt2l_segment_lat[0:1:];/gt2l_segment_lon[0:1:];/gt2l_ht_ortho[0:1:];/gt2l_ht_water_surf[0:1:];/gt1r_rgt[0:1:];/gt1r_segment_lat[0:1:];/gt1r_segment_lon[0:1:];/gt1r_ht_ortho[0:1:];/gt1r_ht_water_surf[0:1:];/gt1l_rgt[0:1:];/gt1l_segment_lat[0:1:];/gt1l_segment_lon[0:1:];/gt1l_ht_ortho[0:1:];/gt1l_ht_water_surf[0:1:]
1692827203,187,request,OLFS,10.9.2.162,#NetcdfJava#HttpClient4#4,DB924FB939EBE1D93BED50A0C4C26A18,nsidc_ops,1692827202069,32,HTTP-GET,/hyrax/ngap/collections/C1241427013-NSIDC_CUAT/granules/ATL13_20200101063921_00850601_005_01.h5.dap,dap4.ce=#gt3r_rgt#5b0:1:#5d##gt3r_segment_lat#5b0:1:#5d##gt3r_segment_lon#5b0:1:#5d##gt3r_ht_ortho#5b0:1:#5d##gt3r_ht_water_surf#5b0:1:#5d##gt3l_rgt#5b0:1:#5d##gt3l_segment_lat#5b0:1:#5d##gt3l_segment_lon#5b0:1:#5d##gt3l_ht_ortho#5b0:1:#5d##gt3l_ht_water_surf#5b0:1:#5d##gt2r_rgt#5b0:1:#5d##gt2r_segment_lat#5b0:1:#5d##gt2r_segment_lon#5b0:1:#5d##gt2r_ht_ortho#5b0:1:#5d##gt2r_ht_water_surf#5b0:1:#5d##gt2l_rgt#5b0:1:#5d##gt2l_segment_lat#5b0:1:#5d##gt2l_segment_lon#5b0:1:#5d##gt2l_ht_ortho#5b0:1:#5d##gt2l_ht_water_surf#5b0:1:#5d##gt1r_rgt#5b0:1:#5d##gt1r_segment_lat#5b0:1:#5d##gt1r_segment_lon#5b0:1:#5d##gt1r_ht_ortho#5b0:1:#5d##gt1r_ht_water_surf#5b0:1:#5d##gt1l_rgt#5b0:1:#5d##gt1l_segment_lat#5b0:1:#5d##gt1l_segment_lon#5b0:1:#5d##gt1l_ht_ortho#5b0:1:#5d##gt1l_ht_water_surf#5b0:1:#5d,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL13/005/2020/01/ATL13_20200101063921_00850601_005_01.h5,/gt3r_rgt[0:1:];/gt3r_segment_lat[0:1:];/gt3r_segment_lon[0:1:];/gt3r_ht_ortho[0:1:];/gt3r_ht_water_surf[0:1:];/gt3l_rgt[0:1:];/gt3l_segment_lat[0:1:];/gt3l_segment_lon[0:1:];/gt3l_ht_ortho[0:1:];/gt3l_ht_water_surf[0:1:];/gt2r_rgt[0:1:];/gt2r_segment_lat[0:1:];/gt2r_segment_lon[0:1:];/gt2r_ht_ortho[0:1:];/gt2r_ht_water_surf[0:1:];/gt2l_rgt[0:1:];/gt2l_segment_lat[0:1:];/gt2l_segment_lon[0:1:];/gt2l_ht_ortho[0:1:];/gt2l_ht_water_surf[0:1:];/gt1r_rgt[0:1:];/gt1r_segment_lat[0:1:];/gt1r_segment_lon[0:1:];/gt1r_ht_ortho[0:1:];/gt1r_ht_water_surf[0:1:];/gt1l_rgt[0:1:];/gt1l_segment_lat[0:1:];/gt1l_segment_lon[0:1:];/gt1l_ht_ortho[0:1:];/gt1l_ht_water_surf[0:1:]
1692828670,187,request,OLFS,10.9.4.50,curl#7#88#1,CDD3FC854DF83270584784F761B9DEEE,jhrguat,1692828669802,42,HTTP-GET,/hyrax/ngap/collections/C1241426887-NSIDC_CUAT/granules/ATL07-01_20200101015629_00820601_005_01.h5.dap,dap4.ce=#orbit_info_rgt##orbit_info_crossing_time##gt3r_sea_ice_segments_latitude#5B0:1024:#5D##gt3r_sea_ice_segments_longitude#5B0:1024:#5D##gt3r_sea_ice_segments_delta_time#5B0:1024:#5D##gt3l_sea_ice_segments_latitude#5B0:1024:#5D##gt3l_sea_ice_segments_longitude#5B0:1024:#5D##gt3l_sea_ice_segments_delta_time#5B0:1024:#5D##gt2r_sea_ice_segments_latitude#5B0:1024:#5D##gt2r_sea_ice_segments_longitude#5B0:1024:#5D##gt2r_sea_ice_segments_delta_time#5B0:1024:#5D##gt2l_sea_ice_segments_latitude#5B0:1024:#5D##gt2l_sea_ice_segments_longitude#5B0:1024:#5D##gt2l_sea_ice_segments_delta_time#5B0:1024:#5D##gt1r_sea_ice_segments_latitude#5B0:1024:#5D##gt1r_sea_ice_segments_longitude#5B0:1024:#5D##gt1r_sea_ice_segments_delta_time#5B0:1024:#5D##gt1l_sea_ice_segments_latitude#5B0:1024:#5D##gt1l_sea_ice_segments_longitude#5B0:1024:#5D##gt1l_sea_ice_segments_delta_time#5B0:1024:#5D,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL07/005/2020/01/01/ATL07-01_20200101015629_00820601_005_01.h5,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_sea_ice_segments_latitude[0:1024:];/gt3r_sea_ice_segments_longitude[0:1024:];/gt3r_sea_ice_segments_delta_time[0:1024:];/gt3l_sea_ice_segments_latitude[0:1024:];/gt3l_sea_ice_segments_longitude[0:1024:];/gt3l_sea_ice_segments_delta_time[0:1024:];/gt2r_sea_ice_segments_latitude[0:1024:];/gt2r_sea_ice_segments_longitude[0:1024:];/gt2r_sea_ice_segments_delta_time[0:1024:];/gt2l_sea_ice_segments_latitude[0:1024:];/gt2l_sea_ice_segments_longitude[0:1024:];/gt2l_sea_ice_segments_delta_time[0:1024:];/gt1r_sea_ice_segments_latitude[0:1024:];/gt1r_sea_ice_segments_longitude[0:1024:];/gt1r_sea_ice_segments_delta_time[0:1024:];/gt1l_sea_ice_segments_latitude[0:1024:];/gt1l_sea_ice_segments_longitude[0:1024:];/gt1l_sea_ice_segments_delta_time[0:1024:]
1692828735,187,request,OLFS,10.9.15.84,curl#7#88#1,CDD3FC854DF83270584784F761B9DEEE,jhrguat,1692828734839,50,HTTP-GET,/hyrax/ngap/collections/C1241426887-NSIDC_CUAT/granules/ATL07-01_20200101015629_00820601_005_01.h5.dap,dap4.ce=#orbit_info_rgt##orbit_info_crossing_time##gt3r_sea_ice_segments_latitude#5B0:1024:#5D##gt3r_sea_ice_segments_longitude#5B0:1024:#5D##gt3r_sea_ice_segments_delta_time#5B0:1024:#5D##gt3l_sea_ice_segments_latitude#5B0:1024:#5D##gt3l_sea_ice_segments_longitude#5B0:1024:#5D##gt3l_sea_ice_segments_delta_time#5B0:1024:#5D##gt2r_sea_ice_segments_latitude#5B0:1024:#5D##gt2r_sea_ice_segments_longitude#5B0:1024:#5D##gt2r_sea_ice_segments_delta_time#5B0:1024:#5D##gt2l_sea_ice_segments_latitude#5B0:1024:#5D##gt2l_sea_ice_segments_longitude#5B0:1024:#5D##gt2l_sea_ice_segments_delta_time#5B0:1024:#5D##gt1r_sea_ice_segments_latitude#5B0:1024:#5D##gt1r_sea_ice_segments_longitude#5B0:1024:#5D##gt1r_sea_ice_segments_delta_time#5B0:1024:#5D##gt1l_sea_ice_segments_latitude#5B0:1024:#5D##gt1l_sea_ice_segments_longitude#5B0:1024:#5D##gt1l_sea_ice_segments_delta_time#5B0:1024:#5D,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL07/005/2020/01/01/ATL07-01_20200101015629_00820601_005_01.h5,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_sea_ice_segments_latitude[0:1024:];/gt3r_sea_ice_segments_longitude[0:1024:];/gt3r_sea_ice_segments_delta_time[0:1024:];/gt3l_sea_ice_segments_latitude[0:1024:];/gt3l_sea_ice_segments_longitude[0:1024:];/gt3l_sea_ice_segments_delta_time[0:1024:];/gt2r_sea_ice_segments_latitude[0:1024:];/gt2r_sea_ice_segments_longitude[0:1024:];/gt2r_sea_ice_segments_delta_time[0:1024:];/gt2l_sea_ice_segments_latitude[0:1024:];/gt2l_sea_ice_segments_longitude[0:1024:];/gt2l_sea_ice_segments_delta_time[0:1024:];/gt1r_sea_ice_segments_latitude[0:1024:];/gt1r_sea_ice_segments_longitude[0:1024:];/gt1r_sea_ice_segments_delta_time[0:1024:];/gt1l_sea_ice_segments_latitude[0:1024:];/gt1l_sea_ice_segments_longitude[0:1024:];/gt1l_sea_ice_segments_delta_time[0:1024:]
1692829334,187,request,OLFS,10.9.4.50,curl#7#88#1,CDD3FC854DF83270584784F761B9DEEE,jhrguat,1692829333846,58,HTTP-GET,/hyrax/ngap/collections/C1241426887-NSIDC_CUAT/granules/ATL07-01_20200101015629_00820601_005_01.h5.dap,dap4.ce=#orbit_info_rgt##orbit_info_crossing_time##gt3r_sea_ice_segments_latitude#5B0:1024:#5D##gt3r_sea_ice_segments_longitude#5B0:1024:#5D##gt3r_sea_ice_segments_delta_time#5B0:1024:#5D##gt3l_sea_ice_segments_latitude#5B0:1024:#5D##gt3l_sea_ice_segments_longitude#5B0:1024:#5D##gt3l_sea_ice_segments_delta_time#5B0:1024:#5D##gt2r_sea_ice_segments_latitude#5B0:1024:#5D##gt2r_sea_ice_segments_longitude#5B0:1024:#5D##gt2r_sea_ice_segments_delta_time#5B0:1024:#5D##gt2l_sea_ice_segments_latitude#5B0:1024:#5D##gt2l_sea_ice_segments_longitude#5B0:1024:#5D##gt2l_sea_ice_segments_delta_time#5B0:1024:#5D##gt1r_sea_ice_segments_latitude#5B0:1024:#5D##gt1r_sea_ice_segments_longitude#5B0:1024:#5D##gt1r_sea_ice_segments_delta_time#5B0:1024:#5D##gt1l_sea_ice_segments_latitude#5B0:1024:#5D##gt1l_sea_ice_segments_longitude#5B0:1024:#5D##gt1l_sea_ice_segments_delta_time#5B0:1024:#5D,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL07/005/2020/01/01/ATL07-01_20200101015629_00820601_005_01.h5,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_sea_ice_segments_latitude[0:1024:];/gt3r_sea_ice_segments_longitude[0:1024:];/gt3r_sea_ice_segments_delta_time[0:1024:];/gt3l_sea_ice_segments_latitude[0:1024:];/gt3l_sea_ice_segments_longitude[0:1024:];/gt3l_sea_ice_segments_delta_time[0:1024:];/gt2r_sea_ice_segments_latitude[0:1024:];/gt2r_sea_ice_segments_longitude[0:1024:];/gt2r_sea_ice_segments_delta_time[0:1024:];/gt2l_sea_ice_segments_latitude[0:1024:];/gt2l_sea_ice_segments_longitude[0:1024:];/gt2l_sea_ice_segments_delta_time[0:1024:];/gt1r_sea_ice_segments_latitude[0:1024:];/gt1r_sea_ice_segments_longitude[0:1024:];/gt1r_sea_ice_segments_delta_time[0:1024:];/gt1l_sea_ice_segments_latitude[0:1024:];/gt1l_sea_ice_segments_longitude[0:1024:];/gt1l_sea_ice_segments_delta_time[0:1024:]
1692829375,187,request,OLFS,10.9.2.162,curl#7#88#1,CDD3FC854DF83270584784F761B9DEEE,jhrguat,1692829374961,66,HTTP-GET,/hyrax/ngap/collections/C1241426887-NSIDC_CUAT/granules/ATL07-01_20200101015629_00820601_005_01.h5.dap,dap4.ce=#orbit_info_rgt##orbit_info_crossing_time##gt3r_sea_ice_segments_latitude#5B0:1024:#5D##gt3r_sea_ice_segments_longitude#5B0:1024:#5D##gt3r_sea_ice_segments_delta_time#5B0:1024:#5D##gt3l_sea_ice_segments_latitude#5B0:1024:#5D##gt3l_sea_ice_segments_longitude#5B0:1024:#5D##gt3l_sea_ice_segments_delta_time#5B0:1024:#5D##gt2r_sea_ice_segments_latitude#5B0:1024:#5D##gt2r_sea_ice_segments_longitude#5B0:1024:#5D##gt2r_sea_ice_segments_delta_time#5B0:1024:#5D##gt2l_sea_ice_segments_latitude#5B0:1024:#5D##gt2l_sea_ice_segments_longitude#5B0:1024:#5D##gt2l_sea_ice_segments_delta_time#5B0:1024:#5D##gt1r_sea_ice_segments_latitude#5B0:1024:#5D##gt1r_sea_ice_segments_longitude#5B0:1024:#5D##gt1r_sea_ice_segments_delta_time#5B0:1024:#5D##gt1l_sea_ice_segments_latitude#5B0:1024:#5D##gt1l_sea_ice_segments_longitude#5B0:1024:#5D##gt1l_sea_ice_segments_delta_time#5B0:1024:#5D,BES,get.dap,dap2,https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL07/005/2020/01/01/ATL07-01_20200101015629_00820601_005_01.h5,/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_sea_ice_segments_latitude[0:1024:];/gt3r_sea_ice_segments_longitude[0:1024:];/gt3r_sea_ice_segments_delta_time[0:1024:];/gt3l_sea_ice_segments_latitude[0:1024:];/gt3l_sea_ice_segments_longitude[0:1024:];/gt3l_sea_ice_segments_delta_time[0:1024:];/gt2r_sea_ice_segments_latitude[0:1024:];/gt2r_sea_ice_segments_longitude[0:1024:];/gt2r_sea_ice_segments_delta_time[0:1024:];/gt2l_sea_ice_segments_latitude[0:1024:];/gt2l_sea_ice_segments_longitude[0:1024:];/gt2l_sea_ice_segments_delta_time[0:1024:];/gt1r_sea_ice_segments_latitude[0:1024:];/gt1r_sea_ice_segments_longitude[0:1024:];/gt1r_sea_ice_segments_delta_time[0:1024:];/gt1l_sea_ice_segments_latitude[0:1024:];/gt1l_sea_ice_segments_longitude[0:1024:];/gt1l_sea_ice_segments_delta_time[0:1024:]
