1692897051,184,error,CredentialsManager::load_credentials() - CredentialsManager config file /etc/bes/credentials.conf was specified but is not present.1692897052,184,timing,elapsed_us,693005,start_us,1692897051930991,stop_us,1692897052623996,-,RemoteResource::get_url() - source url: https://cmr.uat.earthdata.nasa.gov/search/granules.umm_json_v1_4?collection_concept_id=C1225808238-GES_DISC&granule_ur=GPM_3IMERGHH.06%3A3B-HHR.MS.MRG.3IMERG.20210930-S000000-E002959.0000.V06B.HDF5
1692899472,184,error,ERROR: BES User Syntax Error: This dataset contains variables and/or attributes whose data types are not compatible with the 
1692899617,184,error,ERROR: BES User Syntax Error: This dataset contains variables and/or attributes whose data types are not compatible with the 
1692900386,184,error,ERROR: BES User Syntax Error: This dataset contains variables and/or attributes whose data types are not compatible with the 
1692920353,184,error,ERROR: BES Internal Error: Failed to acquire byte buffer from which to read string array data. (DmrppArray.cc:1727), current memory usage is 7643008 KB.
1692920896,184,error,ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator.
1692920896,184,error,ERROR: BES Forbidden Error: ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator. (CurlUtils.cc:832), current memory usage is 7643008 KB.
1692924259,184,error,ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator.
1692924259,184,error,ERROR: BES Forbidden Error: ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator. (CurlUtils.cc:832), current memory usage is 7643008 KB.
1692924938,184,error,ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator.
1692924938,184,error,ERROR: BES Forbidden Error: ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_RAD_IGDR_1.0/SWOT_IPRAD_2PaP002_026_20230811_234459_20230812_003634_PIA1_03.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator. (CurlUtils.cc:832), current memory usage is 7643008 KB.
1692926143,184,error,ERROR: BES Internal Error: Failed to acquire byte buffer from which to read string array data. (DmrppArray.cc:1727), current memory usage is 7643008 KB.
1692926990,184,error,ERROR: BES Internal Error: Failed to acquire byte buffer from which to read string array data. (DmrppArray.cc:1727), current memory usage is 7643008 KB.
1692992383,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992628,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992976,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/APIs/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992976,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/APIs/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992977,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/APIs/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992977,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/APIs/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992978,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992979,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992979,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992980,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992981,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ff/Service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692992981,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/Service/' (BESUtil.cc:298), current memory usage is 7643008 KB.
