1692827043,187,error,CredentialsManager::load_credentials() - CredentialsManager config file /etc/bes/credentials.conf was specified but is not present.
1692835611,187,error,ERROR: BES User Syntax Error: This dataset contains variables and/or attributes whose data types are not compatible with the 
1692918405,187,error,ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_ATTD_RECONST_1.0/SWOT_ATTD_RECONST_20230812T225923_20230814T005923_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_ATTD_RECONST_1.0/SWOT_ATTD_RECONST_20230812T225923_20230814T005923_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator.
1692918405,187,error,ERROR: BES Forbidden Error: ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_ATTD_RECONST_1.0/SWOT_ATTD_RECONST_20230812T225923_20230814T005923_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_ATTD_RECONST_1.0/SWOT_ATTD_RECONST_20230812T225923_20230814T005923_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator. (CurlUtils.cc:832), current memory usage is 7264856 KB.
1692920948,187,error,ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator.
1692920948,187,error,ERROR: BES Forbidden Error: ERROR - The HTTP GET request for the source URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp FAILED. CURLINFO_EFFECTIVE_URL: https://d16xwb4cnl582v.cloudfront.net/podaac-swot-sit-cumulus-protected/SWOT_L2_LR_SSH_1.0/SWOT_L2_LR_SSH_Basic_548_014_20230610T213435_20230610T222014_PIA1_01.nc.dmrpp The response had an HTTP status of 403 which means Forbidden: Contact the server administrator. (CurlUtils.cc:832), current memory usage is 7264856 KB.
1692926163,187,error,ERROR: BES Internal Error: Failed to acquire byte buffer from which to read string array data. (DmrppArray.cc:1727), current memory usage is 7264856 KB.
1692991590,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992542,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992762,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/D4-xml/catalog.xml' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992976,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/APIs/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992977,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/APIs/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992978,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/service/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992979,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/service/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992980,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/Service/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992981,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/Service/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992982,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/Service/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992983,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/SERVICE/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992985,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/SERVICE/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992988,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/WebService/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992989,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/stare/WebService/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692992991,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/WebService/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993033,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/ws/' (BESUtil.cc:298), current memory usage is 7264856 KB.
1692993035,187,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/ws/' (BESUtil.cc:298), current memory usage is 7264856 KB.
