
Request,ATL03-photon-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241426826-NSIDC_CUAT/granules/ATL03_20200101145654_00900605_005_01.h5.dap?dap4.ce=/gt3r_heights_delta_time%5B6710118:149:8209976%5D;/gt3r_heights_lat_ph%5B6710118:149:8209976%5D;/gt3r_heights_lon_ph%5B6710118:149:8209976%5D;/gt3r_heights_h_ph%5B6710118:149:8209976%5D;/gt3r_heights_signal_conf_ph%5B6710118:149:8209976%5D%5B0:1:4%5D
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.271315,4.154324,4.440008,557634
0.055651,3.421461,3.710399,557634
0.055804,3.431591,3.717880,557634
0.055836,3.514404,3.826790,557634
0.055704,3.270949,3.561311,557634
0.055363,3.401965,3.691499,557634
0.055750,3.241682,3.528431,557634
0.054621,3.481213,3.769667,557634
0.055417,3.531546,3.825046,557634
0.055727,3.203925,3.493112,557634
0.055383,3.437985,3.724118,557634
0.055469,3.368531,3.657499,557634
0.055320,3.269260,3.555670,557634
0.055032,3.280986,3.569893,557634
0.056160,3.336490,3.623293,557634
0.055227,3.537439,3.820642,557634
0.055528,3.553708,3.843455,557634
0.055343,3.475268,3.760348,557634
0.055332,3.457551,3.743037,557634
0.055828,3.389183,3.676029,557634
