
Request,ATL12-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241426998-NSIDC_CUAT/granules/ATL12_20200101002212_00810601_005_02.h5.dap?dap4.ce=/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_ssh_segments_latitude%5B0:8:%5D;/gt3r_ssh_segments_longitude%5B0:8:%5D;/gt3r_ssh_segments_delta_time%5B0:8:%5D;/gt3l_ssh_segments_latitude%5B0:8:%5D;/gt3l_ssh_segments_longitude%5B0:8:%5D;/gt3l_ssh_segments_delta_time%5B0:8:%5D;/gt2r_ssh_segments_latitude%5B0:8:%5D;/gt2r_ssh_segments_longitude%5B0:8:%5D;/gt2r_ssh_segments_delta_time%5B0:8:%5D;/gt2l_ssh_segments_latitude%5B0:8:%5D;/gt2l_ssh_segments_longitude%5B0:8:%5D;/gt2l_ssh_segments_delta_time%5B0:8:%5D;/gt1r_ssh_segments_latitude%5B0:8:%5D;/gt1r_ssh_segments_longitude%5B0:8:%5D;/gt1r_ssh_segments_delta_time%5B0:8:%5D;/gt1l_ssh_segments_latitude%5B0:8:%5D;/gt1l_ssh_segments_longitude%5B0:8:%5D;/gt1l_ssh_segments_delta_time%5B0:8:%5D
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.056474,7.945169,8.230581,394709
0.056627,7.095955,7.386851,394709
0.056135,6.501642,6.739436,394709
0.055561,6.431907,6.715473,394709
0.055306,6.879148,7.157893,394709
0.055029,4.391467,4.673421,394709
0.055941,6.288741,6.575097,394709
0.055125,6.874476,7.158914,394709
0.055347,4.307443,4.591485,394709
0.055575,4.568684,4.851916,394709
0.055544,4.330792,4.615564,394709
0.055211,4.352186,4.636147,394709
0.151788,5.324735,5.540748,394709
0.055812,4.435272,4.719282,394709
0.055857,3.880345,4.169788,394709
0.055352,3.628899,3.912898,394709
0.055064,4.004281,4.290002,394709
0.055598,3.808632,4.092566,394709
0.056135,3.899870,4.180623,394709
0.056137,4.253050,4.545644,394709
