
Request,ATL08-photon-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241426826-NSIDC_CUAT/granules/ATL03_20200101145654_00900605_005_01.h5.dap?dap4.ce=/gt3r_geolocation_delta_time;/gt3r_geolocation_reference_photon_lat;/gt3r_geolocation_reference_photon_lon;/gt3r_geolocation_reference_photon_index;/gt3r_geolocation_segment_ph_cnt;/gt3r_geolocation_ph_index_beg;/gt3r_geolocation_segment_id
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.102033,5.903770,14.884247,5302876
0.100827,6.124935,15.428416,5302876
0.101395,4.171430,13.815273,5302876
0.198362,4.166616,13.278986,5302876
0.102334,3.669341,12.815176,5302876
0.101045,3.897955,12.981017,5302876
0.100812,3.506421,12.560055,5302876
0.101060,6.437621,15.736762,5302876
0.197385,4.037027,13.249108,5302876
0.101499,4.016398,13.100251,5302876
0.100411,6.233724,19.228129,5302876
0.135394,6.568367,16.519233,5302876
0.203486,3.960114,13.002313,5302876
0.105990,3.930462,13.212678,5302876
0.100637,3.732584,12.801224,5302876
0.133361,3.863845,13.827774,5302876
0.320203,4.404719,13.363219,5302876
0.100726,3.629391,13.085648,5302876
0.100244,3.749098,12.921811,5302876
0.100843,3.762256,12.844886,5302876
