
Request,ATL13-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241427013-NSIDC_CUAT/granules/ATL13_20200101002212_00810601_005_01.h5.dap?dap4.ce=/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_segment_lat%5B0:256:%5D;/gt3r_segment_lon%5B0:256:%5D;/gt3r_delta_time%5B0:256:%5D;/gt3l_segment_lat%5B0:256:%5D;/gt3l_segment_lon%5B0:256:%5D;/gt3l_delta_time%5B0:256:%5D;/gt2r_segment_lat%5B0:256:%5D;/gt2r_segment_lon%5B0:256:%5D;/gt2r_delta_time%5B0:256:%5D;/gt2l_segment_lat%5B0:256:%5D;/gt2l_segment_lon%5B0:256:%5D;/gt2l_delta_time%5B0:256:%5D;/gt1r_segment_lat%5B0:256:%5D;/gt1r_segment_lon%5B0:256:%5D;/gt1r_delta_time%5B0:256:%5D;/gt1l_segment_lat%5B0:256:%5D;/gt1l_segment_lon%5B0:256:%5D;/gt1l_delta_time%5B0:256:%5D
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.130727,6.754252,7.254117,220455
0.100979,7.695580,8.270687,220455
0.101170,4.440132,4.950531,220455
0.101500,6.942588,7.429272,220455
0.100653,6.875482,7.412380,220455
0.101453,4.281590,4.697657,220455
0.101312,4.311648,4.813959,220455
0.103573,7.098007,8.951202,220455
0.311267,6.329286,9.510969,220455
0.374109,5.406289,7.894475,220455
0.494482,5.646887,7.164684,220455
0.432023,5.631716,8.731959,220455
0.617413,5.506612,6.028355,220455
0.101956,4.214276,4.659077,220455
0.101964,4.933849,5.337077,220455
0.207873,4.997933,5.414328,220455
0.101433,4.695897,5.337067,220455
0.105831,4.577154,5.162315,220455
0.137510,4.492950,5.025268,220455
0.102653,4.727201,5.217254,220455
