
Request,ATL03-photon-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241426826-NSIDC_CUAT/granules/ATL03_20200101145654_00900605_005_01.h5.dap?dap4.ce=/gt3r_heights_delta_time%5B6710118:149:8209976%5D;/gt3r_heights_lat_ph%5B6710118:149:8209976%5D;/gt3r_heights_lon_ph%5B6710118:149:8209976%5D;/gt3r_heights_h_ph%5B6710118:149:8209976%5D;/gt3r_heights_signal_conf_ph%5B6710118:149:8209976%5D%5B0:1:4%5D
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.006497,3.157529,3.186601,557634
0.006731,8.210261,8.236347,557634
0.019814,3.153343,3.184583,557634
0.006563,3.169690,3.200823,557634
0.006616,3.150683,3.178642,557634
0.006623,3.073835,3.100247,557634
0.006536,3.143695,3.167632,557634
0.006528,3.192359,3.218418,557634
0.006641,4.206333,4.227867,557634
0.007546,4.206018,4.252167,557634
0.006833,3.161603,3.190107,557634
0.007440,3.160287,3.184521,557634
0.007078,4.206228,4.230380,557634
0.007026,3.075393,3.106215,557634
0.006392,3.157639,3.190054,557634
0.010563,4.205681,4.232507,557634
0.006699,3.174283,3.203448,557634
0.006548,4.205619,4.233991,557634
0.006333,3.065730,3.098697,557634
0.022787,3.128373,3.160740,557634
