
Request,ATL08-photon-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241426826-NSIDC_CUAT/granules/ATL03_20200101145654_00900605_005_01.h5.dap?dap4.ce=/gt3r_geolocation_delta_time;/gt3r_geolocation_reference_photon_lat;/gt3r_geolocation_reference_photon_lon;/gt3r_geolocation_reference_photon_index;/gt3r_geolocation_segment_ph_cnt;/gt3r_geolocation_ph_index_beg;/gt3r_geolocation_segment_id
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.006692,6.208221,6.258370,5302876
0.006514,6.208679,6.256549,5302876
0.006906,5.156909,5.315285,5302876
0.006607,5.119083,5.230437,5302876
0.006413,5.187596,5.378820,5302876
0.006713,5.160190,5.281370,5302876
0.007262,2.918253,3.021883,5302876
0.097835,4.273989,6.227960,5302876
0.022787,2.963741,3.092428,5302876
0.006408,2.941140,3.045059,5302876
0.006343,2.890002,2.988931,5302876
0.006577,2.884844,3.017143,5302876
0.006304,2.884981,3.001054,5302876
0.006953,2.864026,2.994092,5302876
0.006524,2.897570,3.001538,5302876
0.006425,2.941702,3.064130,5302876
0.006649,2.839056,2.966930,5302876
0.008300,2.831438,2.938700,5302876
0.006343,6.207898,6.255890,5302876
0.006722,3.200199,3.307720,5302876
