
Request,ATL13-response.dap,https://opendap.uat.earthdata.nasa.gov/collections/C1241427013-NSIDC_CUAT/granules/ATL13_20200101002212_00810601_005_01.h5.dap?dap4.ce=/orbit_info_rgt;/orbit_info_crossing_time;/gt3r_segment_lat%5B0:256:%5D;/gt3r_segment_lon%5B0:256:%5D;/gt3r_delta_time%5B0:256:%5D;/gt3l_segment_lat%5B0:256:%5D;/gt3l_segment_lon%5B0:256:%5D;/gt3l_delta_time%5B0:256:%5D;/gt2r_segment_lat%5B0:256:%5D;/gt2r_segment_lon%5B0:256:%5D;/gt2r_delta_time%5B0:256:%5D;/gt2l_segment_lat%5B0:256:%5D;/gt2l_segment_lon%5B0:256:%5D;/gt2l_delta_time%5B0:256:%5D;/gt1r_segment_lat%5B0:256:%5D;/gt1r_segment_lon%5B0:256:%5D;/gt1r_delta_time%5B0:256:%5D;/gt1l_segment_lat%5B0:256:%5D;/gt1l_segment_lon%5B0:256:%5D;/gt1l_delta_time%5B0:256:%5D
Connect (s),TTFB (s),Total time(s),Response size (bytes)
0.023046,6.224715,6.239910,220455
0.006135,6.207701,6.219774,220455
0.006591,6.208013,6.221203,220455
0.006916,6.764984,6.794853,220455
0.007055,6.208973,6.236089,220455
0.006777,6.207656,6.220777,220455
0.006799,6.492708,6.518700,220455
0.006738,4.206239,4.219644,220455
0.006663,4.205760,4.220369,220455
0.006639,4.206295,4.217942,220455
0.007085,4.206042,4.221783,220455
0.024422,4.223353,4.237132,220455
0.006731,4.206347,4.221568,220455
0.006404,4.205587,4.217128,220455
0.006574,4.205974,4.219460,220455
0.006486,4.206063,4.219404,220455
0.006738,4.205437,4.218220,220455
0.006887,4.205948,4.222302,220455
0.007275,4.333045,4.362168,220455
0.006622,4.206513,4.220574,220455
